---地铁6号线(梅林路-南孙庄)----
		
梅林路	117.26091141018294	39.0511679181914
洞庭路	117.25194641102391	39.049788036038336
解放南路	117.24026799024143	39.047239115797616
梅江会展中心	117.22387319603993	39.05091749741221
梅江公园	117.22417853008277	39.05829987637962
左江道	117.22413316565452	39.066123665031995
梅江道	117.23188644051115	39.07519203063545
黑牛城道	117.2305108652837	39.087663105784245
尖山路	117.23018765496121	39.093774111108594
乐园道	117.22390059435799	39.09769372248973
文化中心	117.21345375042971	39.09573989451668
天津宾馆	117.20489289891961	39.091055483240225
肿瘤医院	117.19067254303555	39.08477613694184
水上公园东路	117.17956912761002	39.085133767677966
南翠屏	117.16522273946292	39.08591441573422
迎风道	117.15596138931615	39.09237945714981
红旗南路	117.15592213336537	39.09872812108383
一中心医院	117.15567482985847	39.109634190495015
天拖	117.1557104925872	39.11567315307989
鞍山西道	117.15536877717122	39.12279063174433
宜宾道	117.15596138931615	39.132838248942946
长虹公园	117.15593470964251	39.143710664629836
人民医院	117.15622270638902	39.152552768650466
复兴路	117.16481841215288	39.16167392097663
西站	117.17106190493887	39.16198576943685
北竹林	117.17932649529179	39.165792390335696
天泰路	117.19034681745764	39.17404824855689
外院附中	117.19835206700981	39.177229606016994
新开河	117.20930295015975	39.174825316446636
北站	117.21431594405817	39.172371715899025
北宁公园	117.2296674462404	39.172464927585644
民权门	117.23980967477024	39.175226468325405
金钟河大街	117.24901488082264	39.17800845639797
徐庄子	117.26045857437536	39.197427608544146
金钟街	117.2721758917864	39.20578938355426
大毕庄	117.28523518779882	39.20858035603617
南何庄	117.29751592242572	39.211813880695864
南孙庄	117.32511276599776	39.21230147874554
----地铁5号线(中医一附院-北辰科技园北)----
		
中医一附院	117.19141130948695	39.05249271677785
昌凌路	117.19121152634153	39.0629695318208
凌宾路	117.1785981491843	39.0737143766843
体育中心	117.17912985621564	39.08039613236889
肿瘤医院	117.19067254303555	39.08476913553879
天津宾馆	117.20490197180527	39.09104862248106
文化中心	117.21543262763763	39.09480338737893
西南楼	117.22267800055891	39.1014948188795
下瓦房	117.22944170206573	39.11127933600827
直沽	117.24047388186432	39.11743824453379
津塘路	117.24859438401342	39.12337142990213
成林道	117.25203489411663	39.13668228010947
靖江路	117.25062087141337	39.1488441948035
幸福公园	117.25060101886162	39.16050806117023
月牙河	117.25223871963685	39.17120540550334
金钟河大街	117.24894256722908	39.17800160417473
建昌道	117.24110637877389	39.186006499626615
思源路	117.23388373298202	39.18920597737016
志成路	117.22562534093714	39.19348038751376
张兴庄	117.2210165845182	39.19845039492865
宜兴埠北	117.21197055820217	39.20903345130363
辽河北道	117.2065359895279	39.21552553622876
淮河道	117.19903900123329	39.22427811291235
职业大学	117.18874010822249	39.23659291534278
北辰道	117.18023800589275	39.24640816479196
丹河北道	117.1701997113104	39.258316075556266
北辰科技园北	117.15626052505097	39.273777992098005
----地铁6号线(南孙庄-梅林路)----
		
南孙庄	117.32511276599776	39.21230147874554
南何庄	117.29751592242572	39.211813880695864
大毕庄	117.28523518779882	39.20858035603617
金钟街	117.2721758917864	39.20578938355426
徐庄子	117.26045857437536	39.197427608544146
金钟河大街	117.24901488082264	39.17800845639797
民权门	117.23980967477024	39.175226468325405
北宁公园	117.2296674462404	39.172464927585644
北站	117.21431594405817	39.172371715899025
新开河	117.20930295015975	39.174825316446636
外院附中	117.19835206700981	39.177229606016994
天泰路	117.19034681745764	39.17404824855689
北竹林	117.17932649529179	39.165792390335696
西站	117.17106190493887	39.16198576943685
复兴路	117.16481841215288	39.16167392097663
人民医院	117.15622270638902	39.152552768650466
长虹公园	117.15593470964251	39.143710664629836
宜宾道	117.15596138931615	39.132838248942946
鞍山西道	117.15536877717122	39.12279063174433
天拖	117.1557104925872	39.11567315307989
一中心医院	117.15567482985847	39.109634190495015
红旗南路	117.15592213336537	39.09872812108383
迎风道	117.15596138931615	39.09237945714981
南翠屏	117.16522273946292	39.08591441573422
水上公园东路	117.17956912761002	39.085133767677966
肿瘤医院	117.19067254303555	39.08477613694184
天津宾馆	117.20489289891961	39.091055483240225
文化中心	117.21345375042971	39.09573989451668
乐园道	117.22390059435799	39.09769372248973
尖山路	117.23018765496121	39.093774111108594
黑牛城道	117.2305108652837	39.087663105784245
梅江道	117.23188644051115	39.07519203063545
左江道	117.22413316565452	39.066123665031995
梅江公园	117.22417853008277	39.05829987637962
梅江会展中心	117.22387319603993	39.05091749741221
解放南路	117.24026799024143	39.047239115797616
洞庭路	117.25194641102391	39.049788036038336
梅林路	117.26091141018294	39.0511679181914
----地铁5号线(北辰科技园北-中医一附院)----
		
北辰科技园北	117.15626052505097	39.273777992098005
丹河北道	117.1701997113104	39.258316075556266
北辰道	117.18023800589275	39.24640816479196
职业大学	117.18874010822249	39.23659291534278
淮河道	117.19903900123329	39.22427811291235
辽河北道	117.2065359895279	39.21552553622876
宜兴埠北	117.21197055820217	39.20903345130363
张兴庄	117.2210165845182	39.19845039492865
志成路	117.22562534093714	39.19348038751376
思源路	117.23388373298202	39.18920597737016
建昌道	117.24110637877389	39.186006499626615
金钟河大街	117.24894256722908	39.17800160417473
月牙河	117.25223871963685	39.17120540550334
幸福公园	117.25060101886162	39.16050806117023
靖江路	117.25062087141337	39.1488441948035
成林道	117.25203489411663	39.13668228010947
津塘路	117.24859438401342	39.12337142990213
直沽	117.24047388186432	39.11743824453379
下瓦房	117.22944170206573	39.11127933600827
西南楼	117.22267800055891	39.1014948188795
文化中心	117.21543262763763	39.09480338737893
天津宾馆	117.20490197180527	39.09104862248106
